datetime,price,market_cap,volume,MA_7,MA_30,RSI_14,MACD,MACD_Signal
2026-06-05 14:01:09.642,60758.42527146145,1224160003402.217,47431225383.34856,62177.032312693846,63010.39974871662,31.928548527957208,-488.86093454838556,-295.1403635761752
2026-06-05 15:01:10.814,60787.48456481218,1216736502103.131,56256236746.444115,61870.897437296444,62917.88840367594,32.25494737012929,-573.994935843868,-350.9112780297138
2026-06-05 16:01:17.858,60465.2518621624,1212998386855.344,58800425642.61828,61595.3486125684,62829.51695167018,30.508050361356066,-659.8592842400976,-412.70087927179054
2026-06-05 17:01:16.858,61400.834034237996,1229561364304.7053,64129392921.08163,61397.85715570447,62796.59079082736,40.571814324536795,-644.9788222853604,-459.15646787450453
2026-06-05 18:01:12.528,60761.4584135615,1217592351285.228,65396833498.67196,61150.627289524375,62740.279102876535,36.66407571748586,-676.9744777048691,-502.7200698405774
2026-06-05 19:00:18.277,59353.42034890553,1190631302031.4949,67035560890.29416,60776.67648350094,62596.34028129971,29.846403865380694,-806.649614855618,-563.5059788435856
2026-06-05 20:01:00.959,60317.1980969419,1207072430624.4487,69787130711.81224,60549.15322744043,62473.25382445764,38.30318824373082,-822.1718009297329,-615.239143260815
2026-06-05 21:00:09.064,61633.1025067623,1233551747882.3057,71870667805.48528,60674.1071181977,62398.659503666204,47.59245193742901,-719.9911470599109,-636.1895440206342
2026-06-05 22:00:48.826,61643.666878418364,1236443769254.1055,72157451094.67967,60796.4188772843,62323.36729930029,47.66058398709403,-630.8873099977645,-635.1290972160602
2026-06-05 23:00:35.042,61658.390515035404,1238186155099.5073,74462352496.27461,60966.86725626617,62261.44706613081,47.7625125720567,-552.7124773557225,-618.6457732439927
2026-06-06 00:00:29.699,60921.79441516493,1221126222047.2139,74296044994.81367,60898.43302497001,62176.99419214429,43.22704866236152,-543.9254742514167,-603.7017134454775
2026-06-06 01:00:49.014,61271.40244548539,1227784758452.873,75281293239.80736,60971.282172387706,62093.43674206883,45.85507073824139,-502.95352952303074,-583.5520766609882
2026-06-06 02:00:50.248,61080.8546109545,1224424025287.1638,74756824408.21376,61218.05849553756,62010.43265108155,44.64212955399603,-480.3217359289265,-562.9060085145759
2026-06-06 03:00:51.159,60951.51530057916,1221386971205.0388,74133803245.32048,61308.67523891431,61924.13081449226,43.795309410165736,-467.43418751985155,-543.811644315631
2026-06-06 04:00:12.748,60670.4415940172,1216299326911.853,72664768968.70132,61171.15225137929,61838.35026082568,41.933719461358635,-474.43205424679763,-529.9357263018644
2026-06-06 05:00:59.114,60073.171592618724,1203246375445.7175,74354016328.25218,60946.795781979345,61718.747562532946,38.21631044789702,-522.153550463554,-528.3792911342023
2026-06-06 06:00:58.154,60915.06975241639,1220250145380.6675,75473784787.68011,60840.6071016052,61622.708074553855,45.54443395448247,-486.43175212571805,-519.9897833325055
2026-06-06 07:00:50.944,60742.468959847494,1218216431948.0354,71738686409.87427,60814.98917941699,61534.78668931101,44.382194480765804,-466.66993058873777,-509.3258127837519
2026-06-06 08:00:53.484,60977.17981505444,1222035101047.5808,68404906405.49515,60772.95737506972,61457.09466926139,46.385813328557724,-427.14547306503664,-492.88974484000886
2026-06-06 09:00:42.821,61282.9313998945,1228085676282.7795,68094562683.383865,60801.82548777543,61414.42217209825,48.965038593356745,-366.9208232450983,-467.69596052102673
2026-06-06 10:00:18.022,60966.96489309166,1221763680071.5164,66879588814.96836,60804.032572420074,61358.30274393446,46.47674146101327,-340.76014004571334,-442.30879642596403
2026-06-06 11:00:53.682,60522.4177580613,1212816601275.352,66653384506.35496,60782.88631014066,61262.90685413762,43.15398511873778,-351.84302135863254,-424.21564141249775
2026-06-06 12:00:48.156,60766.97161805294,1219929146818.475,66260763619.52895,60882.0005994884,61209.348625343526,45.46386078329704,-337.0080133696101,-406.7741158039202
2026-06-06 13:00:56.416,61010.48847465796,1223986280516.4548,66248992599.22139,60895.631845522905,61180.45686798639,47.740996391262975,-302.1187505906928,-385.8430427612747
